disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title
38,0,1,1,1,NM,1955-08-15T00:00:00 -04:00,DR,Flood,FLOOD
39,0,1,1,1,RI,1955-08-20T00:00:00 -04:00,DR,Hurricane,HURRICANE & FLOOD
40,0,1,1,1,PA,1955-08-20T00:00:00 -04:00,DR,Flood,FLOODS & RAINS
41,0,1,1,1,NJ,1955-08-20T00:00:00 -04:00,DR,Hurricane,HURRICANE & FLOODS
42,0,1,1,1,CT,1955-08-20T00:00:00 -04:00,DR,Hurricane,"HURRICANE, TORRENTIAL RAIN & FLOODS"
43,0,1,1,1,MA,1955-08-20T00:00:00 -04:00,DR,Hurricane,HURRICANE & FLOODS
44,0,1,1,1,SC,1955-08-20T00:00:00 -04:00,DR,Hurricane,HURRICANES
45,0,1,1,1,NY,1955-08-22T00:00:00 -04:00,DR,Hurricane,HURRICANE & FLOODS
46,0,1,1,1,AK,1955-12-22T00:00:00 -05:00,DR,Other,SEVERE HARDSHIP
47,0,1,1,1,CA,1955-12-23T00:00:00 -05:00,DR,Flood,FLOOD
48,0,1,1,1,NV,1955-12-24T00:00:00 -05:00,DR,Flood,FLOOD
49,0,1,1,1,OR,1955-12-29T00:00:00 -05:00,DR,Flood,FLOOD
50,0,1,1,1,WA,1956-02-25T00:00:00 -05:00,DR,Flood,FLOOD
51,0,1,1,1,PA,1956-03-15T00:00:00 -04:00,DR,Flood,FLOOD
52,0,1,1,1,NY,1956-03-29T00:00:00 -04:00,DR,Flood,FLOOD
53,0,1,1,1,MI,1956-04-05T00:00:00 -04:00,DR,Tornado,TORNADO
54,0,1,1,1,OK,1956-04-07T00:00:00 -04:00,DR,Tornado,TORNADOES
55,0,1,1,1,ID,1956-04-21T00:00:00 -04:00,DR,Flood,FLOODS
56,0,1,1,1,NC,1956-04-24T00:00:00 -04:00,DR,Severe Storm(s),SEVERE STORM
57,0,1,1,1,OH,1956-05-17T00:00:00 -04:00,DR,Other,WIND STORM
58,0,1,1,1,PA,1956-05-21T00:00:00 -04:00,DR,Severe Storm(s),SEVERE STORM
59,0,1,1,1,CO,1956-06-12T00:00:00 -04:00,DR,Flood,FLOOD
60,0,1,1,1,OR,1956-07-20T00:00:00 -04:00,DR,Flood,STORM & FLOOD
61,0,1,1,1,PA,1956-08-09T00:00:00 -04:00,DR,Severe Storm(s),STORM
62,0,1,1,1,PR,1956-08-18T00:00:00 -04:00,DR,Hurricane,HURRICANE
63,0,1,1,1,NV,1956-08-31T00:00:00 -04:00,DR,Flood,FLOOD
64,0,1,1,1,LA,1956-10-04T00:00:00 -04:00,DR,Hurricane,HURRICANE
65,0,1,1,1,CA,1956-12-29T00:00:00 -05:00,DR,Fire,FOREST FIRE
66,0,1,1,1,KY,1957-01-31T00:00:00 -05:00,DR,Flood,FLOOD
67,0,1,1,1,WV,1957-01-31T00:00:00 -05:00,DR,Flood,FLOOD
68,0,1,1,1,VA,1957-02-01T00:00:00 -05:00,DR,Flood,FLOODS
69,0,1,1,1,OR,1957-03-01T00:00:00 -05:00,DR,Flood,FLOOD
70,0,1,1,1,WA,1957-03-06T00:00:00 -05:00,DR,Flood,FLOODS
71,0,1,1,1,HI,1957-03-16T00:00:00 -04:00,DR,Other,TIDAL WAVE
72,0,1,1,1,TX,1957-04-29T00:00:00 -04:00,DR,Hurricane,"HURRICANE, RAIN, WIND, HAIL & FLOODS"
73,0,1,1,1,LA,1957-05-16T00:00:00 -04:00,DR,Hurricane,FLOODS & HURRICANE
74,0,1,1,1,OK,1957-05-18T00:00:00 -04:00,DR,Flood,FLOOD
75,0,1,1,1,MO,1957-05-22T00:00:00 -04:00,DR,Tornado,TORNADOES & FLOODS
76,0,1,1,1,ID,1957-05-27T00:00:00 -04:00,DR,Flood,FLOOD
77,0,1,1,1,AR,1957-05-29T00:00:00 -04:00,DR,Tsunami,"TORNADOES, RAIN, HAIL & FLOODS"
78,0,1,1,1,IL,1957-06-22T00:00:00 -04:00,DR,Flood,FLOODS
79,0,1,1,1,ND,1957-06-22T00:00:00 -04:00,DR,Tornado,TORNADO
80,0,1,1,1,MN,1957-06-22T00:00:00 -04:00,DR,Flood,FLOODS
81,0,1,1,1,KS,1957-09-05T00:00:00 -04:00,DR,Flood,FLOODS
82,0,1,1,1,CA,1958-04-04T00:00:00 -04:00,DR,Flood,HEAVY RAINSTORMS & FLOOD
83,0,1,1,1,AR,1958-05-15T00:00:00 -04:00,DR,Flood,HEAVY RAINSTORMS & FLOODS
84,0,1,1,1,LA,1958-05-20T00:00:00 -04:00,DR,Flood,FLOODS
85,0,1,1,1,TX,1958-06-06T00:00:00 -04:00,DR,Tornado,"TORNADOES, RAIN, HAIL & FLOODS"
86,0,1,1,1,IA,1958-07-05T00:00:00 -04:00,DR,Flood,FLOODS
87,0,1,1,1,NC,1958-10-01T00:00:00 -04:00,DR,Hurricane,HURRICANE & SEVERE STORM
88,0,1,1,1,KS,1958-11-06T00:00:00 -05:00,DR,Flood,FLOODS
89,0,1,1,1,PA,1959-01-23T00:00:00 -05:00,DR,Flood,FLOODS
90,0,1,1,1,OH,1959-01-23T00:00:00 -05:00,DR,Flood,FLOODS
91,0,1,1,1,IN,1959-01-29T00:00:00 -05:00,DR,Flood,FLOOD
92,0,1,1,1,OK,1959-07-08T00:00:00 -04:00,DR,Flood,FLOOD
93,0,1,1,1,TX,1959-07-08T00:00:00 -04:00,DR,Flood,FLOODS
94,0,1,1,1,HI,1959-08-16T00:00:00 -04:00,DR,Hurricane,HURRICANE DOT
95,0,1,1,1,OK,1959-11-09T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODS
96,0,1,1,1,HI,1960-01-21T00:00:00 -05:00,DR,Earthquake,EARTHQUAKES & VOLCANIC DISTURBANCES
97,0,1,1,1,FL,1960-03-23T00:00:00 -04:00,DR,Other,SEVERE WEATHER CONDITIONS
98,0,1,1,1,NE,1960-04-04T00:00:00 -04:00,DR,Flood,FLOODS
99,0,1,1,1,SD,1960-04-08T00:00:00 -04:00,DR,Flood,FLOODS
100,0,1,1,1,MO,1960-04-20T00:00:00 -04:00,DR,Flood,FLOODS
101,0,1,1,1,HI,1960-05-25T00:00:00 -04:00,DR,Other,TIDAL WAVES
102,0,1,1,1,AR,1960-05-28T00:00:00 -04:00,DR,Tornado,TORNADOES & FLOODS
103,0,1,1,1,TX,1960-07-15T00:00:00 -04:00,DR,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES"
104,0,1,1,1,OK,1960-07-15T00:00:00 -04:00,DR,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES"
105,0,1,1,1,ID,1960-07-22T00:00:00 -04:00,DR,Fire,FIRES
106,0,1,1,1,FL,1960-09-12T00:00:00 -04:00,DR,Hurricane,HURRICANE DONNA
107,0,1,1,1,NC,1960-09-16T00:00:00 -04:00,DR,Hurricane,HURRICANE DONNA
108,0,1,1,1,MS,1961-02-27T00:00:00 -05:00,DR,Flood,FLOODS
109,0,1,1,1,AL,1961-02-27T00:00:00 -05:00,DR,Flood,FLOODS
110,0,1,1,1,GA,1961-03-02T00:00:00 -05:00,DR,Flood,FLOODS
111,0,1,1,1,IA,1961-03-31T00:00:00 -04:00,DR,Flood,FLOODS
112,0,1,1,1,AR,1961-05-16T00:00:00 -04:00,DR,Flood,FLOODS & TORNADOES
113,0,1,1,1,IN,1961-05-20T00:00:00 -04:00,DR,Flood,FLOODS
114,0,1,1,1,MO,1961-05-27T00:00:00 -04:00,DR,Flood,FLOODS
115,0,1,1,1,IL,1961-05-27T00:00:00 -04:00,DR,Flood,FLOODS & TORNADOES
116,0,1,1,1,ID,1961-06-26T00:00:00 -04:00,DR,Flood,FLOODS
117,0,1,1,1,WV,1961-07-23T00:00:00 -04:00,DR,Flood,FLOODS
118,0,1,1,1,TX,1961-09-16T00:00:00 -04:00,DR,Hurricane,HURRICANE CARLA
119,0,1,1,1,CA,1961-11-16T00:00:00 -05:00,DR,Fire,FIRE (LOS ANGELES COUNTY)
120,0,1,1,1,ID,1962-02-14T00:00:00 -05:00,DR,Flood,FLOODS
121,0,1,1,1,NV,1962-02-22T00:00:00 -05:00,DR,Flood,FLOODS
122,0,1,1,1,CA,1962-03-06T00:00:00 -05:00,DR,Flood,FLOODS
123,0,1,1,1,VA,1962-03-09T00:00:00 -05:00,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING"
124,0,1,1,1,NJ,1962-03-09T00:00:00 -05:00,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING"
125,0,1,1,1,WV,1962-03-09T00:00:00 -05:00,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING"
126,0,1,1,1,DE,1962-03-09T00:00:00 -05:00,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING"
127,0,1,1,1,MD,1962-03-09T00:00:00 -05:00,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING"
128,0,1,1,1,KY,1962-03-12T00:00:00 -04:00,DR,Flood,FLOODS
129,0,1,1,1,NY,1962-03-16T00:00:00 -04:00,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING"
130,0,1,1,1,NC,1962-03-16T00:00:00 -04:00,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING"
131,0,1,1,1,NE,1962-05-10T00:00:00 -04:00,DR,Flood,FLOODS
132,0,1,1,1,SD,1962-07-27T00:00:00 -04:00,DR,Flood,FLOODS & TORNADOES
133,0,1,1,1,IA,1962-09-05T00:00:00 -04:00,DR,Flood,FLOODS
134,0,1,1,1,NE,1962-09-05T00:00:00 -04:00,DR,Flood,FLOODS
135,0,1,1,1,MS,1962-10-10T00:00:00 -04:00,DR,Toxic Substances,CHLORINE BARGE ACCIDENT
136,0,1,1,1,OR,1962-10-16T00:00:00 -04:00,DR,Severe Storm(s),SEVERE STORMS
137,0,1,1,1,WA,1962-10-20T00:00:00 -04:00,DR,Severe Storm(s),SEVERE STORMS
138,0,1,1,1,CA,1962-10-24T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
139,0,1,1,1,LA,1962-11-05T00:00:00 -05:00,DR,Toxic Substances,CHLORINE BARGE ACCIDENT
140,0,1,1,1,GU,1962-11-12T00:00:00 -05:00,DR,Typhoon,TYPHOON KAREN
141,0,1,1,1,FL,1962-12-17T00:00:00 -05:00,DR,Flood,ABNORMALLY HIGH TIDES
142,0,1,1,1,NV,1963-02-14T00:00:00 -05:00,DR,Flood,FLOODS
143,0,1,1,1,ID,1963-02-14T00:00:00 -05:00,DR,Flood,FLOODS
144,0,1,1,1,OR,1963-02-25T00:00:00 -05:00,DR,Flood,FLOODS
145,0,1,1,1,CA,1963-02-25T00:00:00 -05:00,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING"
146,0,1,1,1,WA,1963-03-02T00:00:00 -05:00,DR,Flood,FLOODS
147,0,1,1,1,WV,1963-03-13T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
148,0,1,1,1,KY,1963-03-13T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
149,0,1,1,1,VA,1963-03-21T00:00:00 -04:00,DR,Flood,FLOODS
150,0,1,1,1,GA,1963-03-26T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
151,0,1,1,1,TN,1963-03-27T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
152,0,1,1,1,HI,1963-04-24T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
153,0,1,1,1,GU,1963-04-30T00:00:00 -04:00,DR,Typhoon,TYPHOON OLIVE
154,0,1,1,0,FM,1963-04-30T00:00:00 -04:00,DR,Typhoon,TYPHOON OLIVE
155,0,1,1,1,WY,1963-07-04T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
156,0,1,1,1,NE,1963-07-17T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
157,0,1,1,1,AR,1963-08-02T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
158,0,1,1,1,NY,1963-08-23T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
159,0,1,1,1,TX,1963-09-24T00:00:00 -04:00,DR,Hurricane,HURRICANE CINDY
160,0,1,1,1,VT,1963-11-27T00:00:00 -05:00,DR,Drought,DROUGHT & IMPENDING FREEZE
161,0,1,1,1,CA,1963-12-21T00:00:00 -05:00,DR,Dam/Levee Break,FLOOD DUE TO BROKEN DAM
162,0,1,1,1,IN,1964-03-17T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
163,0,1,1,1,KY,1964-03-17T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
164,0,1,1,1,VT,1964-03-17T00:00:00 -04:00,DR,Flood,FLOODING
165,0,1,1,1,WV,1964-03-20T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
166,0,1,1,1,AR,1964-03-20T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
167,0,1,1,1,OH,1964-03-24T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
168,0,1,1,1,AK,1964-03-28T00:00:00 -04:00,DR,Earthquake,EARTHQUAKE
169,0,1,1,1,CA,1964-04-01T00:00:00 -04:00,DR,Other,SEISMIC SEA WAVE
170,0,1,1,1,PR,1964-05-26T00:00:00 -04:00,DR,Drought,EXTREME DROUGHT CONDITIONS
171,0,1,1,1,VI,1964-06-08T00:00:00 -04:00,DR,Drought,EXTREME DROUGHT CONDITIONS
172,0,1,1,1,MT,1964-06-09T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
173,0,1,1,1,MO,1964-07-08T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
174,0,1,1,1,NE,1964-07-20T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
175,0,1,1,1,FL,1964-09-08T00:00:00 -04:00,DR,Hurricane,HURRICANE CLEO
176,0,1,1,1,FL,1964-09-10T00:00:00 -04:00,DR,Hurricane,HURRICANE DORA
177,0,1,1,1,GA,1964-09-10T00:00:00 -04:00,DR,Hurricane,HURRICANE DORA
178,0,1,1,1,LA,1964-10-03T00:00:00 -04:00,DR,Hurricane,HURRICANE HILDA
179,0,1,1,1,NC,1964-10-13T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
180,0,1,1,1,GA,1964-11-04T00:00:00 -05:00,DR,Flood,FLOODING
181,0,1,1,0,FM,1964-12-10T00:00:00 -05:00,DR,Typhoon,TYPHOON LOUISE
182,0,1,1,1,MT,1964-12-18T00:00:00 -05:00,DR,Snow,SEVERE WINTER STORM
183,0,1,1,1,CA,1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING
203,0,1,1,1,MO,1965-07-27T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
204,0,1,1,1,NY,1965-08-18T00:00:00 -04:00,DR,Drought,WATER SHORTAGE
205,0,1,1,1,NJ,1965-08-18T00:00:00 -04:00,DR,Drought,WATER SHORTAGE
206,0,1,1,1,PA,1965-08-18T00:00:00 -04:00,DR,Drought,WATER SHORTAGE
207,0,1,1,1,DE,1965-08-18T00:00:00 -04:00,DR,Drought,WATER SHORTAGE
208,0,1,1,1,LA,1965-09-10T00:00:00 -04:00,DR,Hurricane,HURRICANE BETSY
209,0,1,1,1,FL,1965-09-14T00:00:00 -04:00,DR,Hurricane,HURRICANE BETSY
242,0,1,1,1,IL,1968-06-05T00:00:00 -04:00,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING"
243,0,1,1,1,OH,1968-06-05T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
244,0,1,1,1,TX,1968-06-10T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
245,0,1,1,1,NJ,1968-06-18T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
246,0,1,1,1,TX,1968-07-05T00:00:00 -04:00,DR,Flood,"SEVERE STORMS, HIGH WINDS & FLOODING"
247,0,1,1,1,IN,1968-07-30T00:00:00 -04:00,DR,Flood,FLOODING
248,0,1,1,1,IA,1968-08-04T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
249,0,1,1,1,MN,1968-08-15T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
250,0,1,1,1,MN,1968-09-09T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
251,0,1,1,1,HI,1968-09-13T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
252,0,1,1,1,FL,1968-11-07T00:00:00 -05:00,DR,Hurricane,HURRICANE GLADYS
253,0,1,1,1,CA,1969-01-26T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
269,0,1,1,1,IA,1969-08-14T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
270,0,1,1,1,CA,1969-08-15T00:00:00 -04:00,DR,Flood,FLOODING
271,0,1,1,1,MS,1969-08-18T00:00:00 -04:00,DR,Hurricane,HURRICANE CAMILLE
272,0,1,1,1,LA,1969-08-19T00:00:00 -04:00,DR,Hurricane,HURRICANE CAMILLE
273,0,1,1,1,PA,1969-08-19T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
274,0,1,1,1,VA,1969-08-23T00:00:00 -04:00,DR,Hurricane,SEVERE STORMS & FLOODING
275,0,1,1,1,NY,1969-08-26T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
276,0,1,1,1,IL,1969-08-30T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
277,0,1,1,1,VT,1969-08-30T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
278,0,1,1,1,WV,1969-09-03T00:00:00 -04:00,DR,Hurricane,SEVERE STORMS & FLOODING
279,0,1,1,1,WV,1969-09-24T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
280,0,1,1,1,AL,1969-11-07T00:00:00 -05:00,DR,Hurricane,HURRICANE CAMILLE
281,0,1,1,1,AK,1969-12-19T00:00:00 -05:00,DR,Severe Storm(s),HEAVY RAINS & LANDSLIDE
282,0,1,1,1,KY,1970-02-02T00:00:00 -05:00,DR,Flood,"HEAVY SNOWMELT, RAINS & FLOODING"
318,0,0,1,1,MS,1972-01-19T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING
319,0,1,1,1,OR,1972-01-21T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
320,0,0,1,1,TX,1972-01-27T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING
321,0,0,1,1,AR,1972-01-27T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
322,0,1,1,1,WA,1972-02-01T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
323,0,1,1,1,WV,1972-02-27T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING
324,0,0,1,1,ID,1972-03-02T00:00:00 -05:00,DR,Flood,SEVERE STORMS & EXTENSIVE FLOODING
325,0,1,1,1,MA,1972-03-06T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
326,0,1,1,1,ME,1972-03-07T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
327,0,1,1,1,NH,1972-03-18T00:00:00 -05:00,DR,Coastal Storm,COASTAL STORMS
328,0,1,1,1,WA,1972-03-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING
329,0,1,1,1,CA,1972-04-05T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
330,0,0,1,1,MI,1972-04-05T00:00:00 -05:00,DR,Snow,SEVERE STORM & FREEZING
331,0,0,1,1,TN,1972-05-15T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
332,0,1,1,1,KY,1972-05-15T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
363,0,1,1,1,MI,1972-12-01T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
364,0,1,1,1,CA,1973-02-08T00:00:00 -05:00,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING"
365,0,1,1,1,TX,1973-03-12T00:00:00 -05:00,DR,Severe Storm(s),"HIGH WINDS, TORNADOES AND FLOODING"
366,0,1,1,1,TN,1973-03-21T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING
367,0,1,1,1,NY,1973-03-21T00:00:00 -05:00,DR,Flood,"HIGH WINDS, WAVE ACTION & FLOODING"
368,0,1,1,1,MS,1973-03-27T00:00:00 -05:00,DR,Severe Storm(s),"HEAVY RAINS, TORNADOES & FLOODING"
188,0,1,1,1,MN,1965-04-11T00:00:00 -04:00,DR,Flood,FLOODING
189,0,1,1,1,IN,1965-04-14T00:00:00 -04:00,DR,Tornado,TORNADOES & SEVERE STORMS
190,0,1,1,1,MI,1965-04-14T00:00:00 -04:00,DR,Tornado,TORNADOES & SEVERE STORMS
191,0,1,1,1,OH,1965-04-14T00:00:00 -04:00,DR,Tornado,TORNADOES & SEVERE STORMS
218,0,1,1,1,TX,1966-05-12T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
219,0,1,1,1,KS,1966-06-10T00:00:00 -04:00,DR,Tornado,TORNADOES & SEVERE STORMS
220,0,1,1,1,ND,1966-07-09T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
221,0,1,1,1,NE,1966-08-31T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
222,0,1,1,1,TX,1966-09-27T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
223,0,1,1,1,CA,1967-01-02T00:00:00 -05:00,DR,Flood,SEVERE STORMS & FLOODING
224,0,1,1,1,WV,1967-03-13T00:00:00 -04:00,DR,Flood,FLOODING
225,0,1,1,0,PW,1967-03-21T00:00:00 -04:00,DR,Typhoon,TYPHOON SALLY
226,0,1,1,1,KY,1967-03-27T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
227,0,1,1,1,IL,1967-04-25T00:00:00 -04:00,DR,Tornado,TORNADOES
255,0,1,1,1,MN,1969-04-18T00:00:00 -04:00,DR,Flood,FLOODING
256,0,1,1,1,ND,1969-04-18T00:00:00 -04:00,DR,Flood,FLOODING
257,0,1,1,1,SD,1969-04-18T00:00:00 -04:00,DR,Flood,FLOODING
292,0,1,1,1,TX,1970-08-04T00:00:00 -04:00,DR,Hurricane,HURRICANE CELIA
293,0,1,1,1,CO,1970-09-22T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
294,0,1,1,1,AZ,1970-09-22T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLASH
295,0,1,1,1,CA,1970-09-29T00:00:00 -04:00,DR,Fire,FOREST & BRUSH FIRES
296,0,1,1,1,PR,1970-10-12T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING
297,0,1,1,1,OK,1970-10-14T00:00:00 -04:00,DR,Severe Storm(s),"HEAVY RAINS, TORNADOES & FLOODING"
339,0,1,1,1,VA,1972-06-23T00:00:00 -04:00,DR,Flood,TROPICAL STORM AGNES
340,0,1,1,1,PA,1972-06-23T00:00:00 -04:00,DR,Flood,TROPICAL STORM AGNES
192,0,1,1,1,WI,1965-04-21T00:00:00 -04:00,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING"
193,0,1,1,1,IA,1965-04-22T00:00:00 -04:00,DR,Flood,FLOODING
194,0,1,1,1,IL,1965-04-25T00:00:00 -04:00,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING"
228,0,1,1,1,NE,1967-07-18T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
229,0,1,1,1,KS,1967-07-18T00:00:00 -04:00,DR,Tornado,"TORNADOES, SEVERE STORMS & FLOODING"
230,0,1,1,1,AK,1967-08-17T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING
231,0,1,1,1,ID,1967-08-30T00:00:00 -04:00,DR,Fire,FOREST FIRES
258,0,1,1,1,NV,1969-04-19T00:00:00 -04:00,DR,Flood,FLOODING
259,0,1,1,1,IA,1969-04-25T00:00:00 -04:00,DR,Flood,FLOODING
260,0,1,1,1,WI,1969-05-01T00:00:00 -04:00,DR,Flood,FLOODING
